naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Vet rund- uitgesmolten,891.0,0.0,0.0,99.0,0.0,150.0,0.0,stuk
Olie zonnebloem-,897.0,0.3,0.0,99.5,0.0,0.0,0.0,
Cornedbeef,208.0,24.3,0.9,11.9,0.0,0.0,0.0,
Fazant,223.0,31.0,0.0,11.0,0.0,0.0,0.0,
Frikandel bereid m vloeibaar frituurvet,251.0,13.8,6.7,18.4,1.8,60.0,0.0,
Kroket vlees- bereid m vloeibaar frituurvet,272.0,8.9,20.9,16.6,1.9,60.0,0.0,
Ham e,188.0,24.6,1.2,9.5,0.0,0.0,0.0,
Kalkoen,141.0,21.8,0.0,6.0,0.0,0.0,0.0,
Pastei lever-,318.0,14.2,1.7,28.3,0.0,60.0,0.0,
Luncheon meat blik,279.0,12.9,3.3,23.8,0.2,0.0,0.0,
Patrijs,248.0,35.0,0.0,12.0,0.0,0.0,0.0,
Pekelvlees,184.0,17.3,0.1,12.7,0.0,0.0,0.0,
Ree wild,122.0,22.4,0.0,3.6,0.0,0.0,0.0,
Runderrookvlees,108.0,22.0,0.5,2.0,0.0,0.0,0.0,
Spek rook- vet,678.0,5.0,0.0,73.2,0.0,0.0,0.0,
Vleeswaren gem,239.0,16.6,2.7,17.9,0.2,0.0,0.0,
Bokking gerookt,242.0,20.8,0.3,17.5,0.0,0.0,0.0,
Haringfilet in tomatensaus blik,201.0,12.0,5.4,14.6,0.5,0.0,0.0,
Haring,172.0,17.6,2.8,10.1,0.0,0.0,0.0,
Krab in water blik,85.0,18.1,0.0,1.4,0.0,0.0,200.0,glas
Makreel,233.0,18.0,0.0,17.9,0.0,0.0,0.0,
Oesters,57.0,6.0,4.0,1.9,0.0,0.0,0.0,
Sardines in olie blik,231.0,21.7,0.0,16.0,0.0,0.0,0.0,
Lever schelvis- blik,409.0,7.0,0.0,42.3,0.0,0.0,0.0,
Stokvis geweekt,138.0,32.5,0.0,0.9,0.0,0.0,0.0,
Eiwit kippenei,44.0,10.5,0.4,0.0,0.0,60.0,0.0,
Loempia gefrituurd in plantaardige olie,181.0,7.1,18.6,8.2,2.0,0.0,0.0,
Babyvoeding maaltijd 8 mnd,74.0,3.4,9.7,2.1,1.7,0.0,0.0,
Suiker basterd- bruine,396.0,0.0,99.0,0.0,0.0,150.0,0.0,stuk
Suiker basterd- witte,396.0,0.0,99.0,0.0,0.0,150.0,0.0,stuk
Suiker kristal-,400.0,0.0,100.0,0.0,0.0,150.0,0.0,stuk
Stroop keuken-,328.0,0.0,82.0,0.0,0.0,0.0,0.0,
Stroop suiker-,300.0,0.0,75.0,0.0,0.0,150.0,0.0,stuk
Advocaat,236.0,4.3,23.6,3.2,0.0,0.0,0.0,
Sap appel-,46.0,0.1,11.2,0.0,0.0,135.0,200.0,stuk
Vruchtendrank rode bessen,57.0,0.0,14.0,0.0,0.4,0.0,0.0,
Jenever bessen-,184.0,0.0,18.0,0.0,0.0,0.0,0.0,
Vruchtendrank zwarte bessen,61.0,0.0,15.0,0.0,0.4,0.0,0.0,
Sap rode bessen-,42.0,0.2,10.0,0.0,0.6,0.0,200.0,
Bier oud bruin,38.0,0.5,5.5,0.0,0.2,150.0,250.0,glas
Bier pils,44.0,0.4,3.0,0.0,0.3,0.0,250.0,glas
Brandewijn,231.0,0.0,0.0,0.0,0.0,0.0,150.0,glas
Campari,180.0,0.0,10.0,0.0,0.0,0.0,0.0,
Jenever citroen-,180.0,0.0,3.0,0.0,0.0,120.0,0.0,
Cognac,224.0,0.0,0.0,0.0,0.0,0.0,0.0,
Frisdrank m suiker m cafeine,41.0,0.0,10.4,0.0,0.0,150.0,200.0,stuk
Sap druiven-,65.0,0.2,15.9,0.0,0.2,5.0,200.0,stuk
Vruchtendrank frambozen,57.0,0.0,14.0,0.0,0.4,4.0,0.0,
Frisdrank m suiker z cafeine,37.0,0.0,9.2,0.0,0.0,150.0,200.0,stuk
Jenever jonge,196.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jenever oude,200.0,0.0,1.0,0.0,0.0,0.0,0.0,
Likeur 15-25 vol% alc,242.0,0.0,29.0,0.0,0.0,0.0,0.0,
Muskaatwijn,162.0,0.0,13.7,0.0,0.0,0.0,150.0,glas
Port,156.0,0.0,13.0,0.0,0.0,0.0,0.0,
Rum,234.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sherry,111.0,0.0,3.2,0.0,0.0,0.0,0.0,
Sap sinaasappel- gepasteuriseerd,45.0,0.6,9.5,0.1,0.3,130.0,200.0,stuk
Sap tomaten-,16.0,0.7,3.2,0.0,0.4,0.0,200.0,
Vermouth zoete,150.0,0.0,16.5,0.0,0.0,0.0,0.0,
Vieux,200.0,0.0,1.0,0.0,0.0,0.0,0.0,
Limonade vruchten- m suiker,41.0,0.0,10.3,0.0,0.0,150.0,0.0,stuk
Whisky,245.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wijn rode,82.0,0.0,3.0,0.0,0.0,0.0,150.0,glas
Wijn witte droge,67.0,0.1,0.6,0.0,0.0,0.0,150.0,glas
Frisdrank Rivella,4.0,0.0,1.0,0.0,0.0,0.0,200.0,
Stroop appel-,280.0,1.8,65.9,0.0,4.6,135.0,0.0,stuk
Saus barbecue-,95.0,0.9,22.2,0.1,1.0,0.0,0.0,
Bouillonblokje,273.0,8.1,21.2,17.2,0.5,150.0,250.0,kom
Cacaopoeder,379.0,18.5,10.5,21.7,34.0,0.0,0.0,
Chocolade melk-,548.0,7.0,52.0,34.1,2.8,0.0,200.0,glas
Chocolade puur,531.0,6.5,46.7,33.7,7.2,0.0,0.0,
Vlokken chocolade- melk,454.0,5.8,72.0,15.0,3.5,0.0,200.0,glas
Boter chocolade-,515.0,1.6,53.6,32.2,2.4,0.0,0.0,
Vlokken chocolade- puur,444.0,5.2,67.0,15.5,7.0,0.0,0.0,
Pasta chocolade- hazelnoot,562.0,5.7,53.9,35.3,2.9,0.0,0.0,
Saus cocktail/party/tafel- 25% olie,293.0,0.7,13.7,26.1,0.2,0.0,0.0,
Gelatine,352.0,88.0,0.0,0.0,0.0,0.0,0.0,
Gember op siroop blik/glas,288.0,1.8,69.0,0.0,2.5,0.0,0.0,
Gistextract Marmite,238.0,38.4,19.2,0.1,3.1,0.0,0.0,
Hagelslag vruchten-,393.0,0.1,98.2,0.0,0.0,0.0,0.0,
Honing,321.0,0.3,80.0,0.0,0.0,0.0,0.0,
Pasta chocolade- puur,575.0,3.0,51.4,38.6,4.1,0.0,0.0,
Jam,248.0,0.3,60.8,0.1,1.2,0.0,0.0,
Kauwgom,280.0,0.0,70.0,0.0,0.0,0.0,0.0,
Kauwgom z suiker,171.0,0.1,66.4,0.6,2.4,150.0,0.0,stuk
Kokosbrood,426.0,3.2,58.7,18.6,5.6,0.0,0.0,
Zuurtjes,380.0,0.0,95.0,0.0,0.0,0.0,0.0,
Mayonaise,664.0,1.1,3.6,71.6,0.2,0.0,0.0,
Pepermunt,395.0,0.6,98.2,0.0,0.0,0.0,0.0,
Piccalilly,53.0,1.3,8.2,1.3,1.8,0.0,0.0,
Pindakaas,654.0,22.5,10.0,56.4,8.0,0.0,0.0,handje
Jam rozenbottel- m vit C,260.0,1.8,62.0,0.3,1.0,0.0,0.0,
Saus sla- 25% olie,278.0,0.4,8.9,26.7,0.2,0.0,0.0,
Toffee,401.0,0.6,85.6,6.2,0.1,0.0,0.0,
Ketchup tomaten-,77.0,1.0,17.7,0.0,0.8,0.0,0.0,
Siroop vruchtenlimonade-,233.0,0.0,58.2,0.0,0.0,0.0,0.0,
Broodbeleg zoet gem,422.0,3.0,64.2,16.5,2.5,0.0,0.0,
Saus frites- 25% olie,296.0,0.5,12.0,27.3,0.2,0.0,0.0,
Saus frites- 35% olie,375.0,0.7,12.0,36.0,0.0,0.0,0.0,
Pannenkoek huishoudelijk bereid m margarine,203.0,8.3,29.2,5.8,0.6,150.0,0.0,stuk
Tompouce,315.0,3.8,36.5,16.9,0.7,0.0,0.0,
Babi pangang z rijst,131.0,10.2,6.7,7.0,0.4,0.0,0.0,
