naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Bakmix voor pannenkoeken,322,"10,6","65,4","1,2","3,8",0.0,0,
Bakmix voor poffertjes,337,10,71,1,2,0.0,0,
Pudding chocolade-,112,"3,4","19,3",2,"1,3",0.0,0,
Cacaopoeder gezoet,376,"4,5","80,6","2,6",6,0.0,0,
Rabarbermoes m suiker,82,"0,5",19,0,2,150.0,0,stuk
Dessertsaus vruchten-,189,"0,3","46,3","0,1","0,7",0.0,0,
Dessertsaus chocolade-,269,"2,1","60,8","1,9","0,5",0.0,0,
Pindakaas m stukjes pinda,651,20,15,55,"7,9",0.0,0,handje
Noten borrel-,532,"13,2","43,7","32,7","4,8",0.0,0,handje
Saus schaschlik-,109,"0,8","25,9",0,"0,9",0.0,0,
Topping m suiker opgeklopt Klop-Klop,111,"3,5","12,5","5,2",0,150.0,0,stuk
Kaas Camembert 45+,306,25,0,"22,8",0,0.0,0,
Selderij bleek-,14,1,2,0,"1,1",0.0,0,
Selderij knol-,38,2,5,0,"4,9",0.0,0,
Koolraap,30,"0,7",5,"0,1",3,0.0,0,
Koolrabi,31,"0,9","4,7","0,3","2,8",0.0,0,
Postelein,13,1,1,0,"2,5",0.0,0,
Prei,28,"1,5","3,5","0,2",3,0.0,0,
Snijbiet,29,3,3,0,"2,5",0.0,0,
Spruitjes,46,"2,3","5,6","0,7","4,1",150.0,0,stuk
Worst knak- blik/glas,201,12,"3,8","15,4","0,1",0.0,0,
Worst boterham-,306,"11,6","3,5","26,9","0,2",0.0,0,
Worst bloed-,386,"12,4","9,5","32,6","2,5",0.0,0,
Candybar Nuts,497,"4,6","62,3","24,8","3,3",0.0,0,
Spread sandwich- naturel,235,"1,6",14,19,"0,8",0.0,0,
Salade huzaren-,149,"2,1","13,7","9,1","2,1",0.0,0,
Ketchup hot chilli,101,"1,2","23,3","0,1","0,8",0.0,0,
